Date	Monthly beer production in Australia			
1956-01-01	93			
1956-02-01	96			
1956-03-01	95			
1956-04-01	77			
1956-05-01	71			
1956-06-01	65			
1956-07-01	70			
1956-08-01	77			
1956-09-01	80			
1956-10-01	101			
1956-11-01	101			
1956-12-01	107			
1957-01-01	96			
1957-02-01	83			
1957-03-01	83			
1957-04-01	80			
1957-05-01	80			
1957-06-01	68			
1957-07-01	76			
1957-08-01	71			
1957-09-01	89			
1957-10-01	101			
1957-11-01	105			
1957-12-01	114			
1958-01-01	96			
1958-02-01	84			
1958-03-01	91			
1958-04-01	82			
1958-05-01	81			
1958-06-01	70			
1958-07-01	75			
1958-08-01	76			
1958-09-01	86			
1958-10-01	99			
1958-11-01	101			
1958-12-01	114			
1959-01-01	90			
1959-02-01	84			
1959-03-01	87			
1959-04-01	86			
1959-05-01	72			
1959-06-01	69			
1959-07-01	78			
1959-08-01	78			
1959-09-01	94			
1959-10-01	98			
1959-11-01	100			
1959-12-01	116			
1960-01-01	97			
1960-02-01	93			
1960-03-01	96			
1960-04-01	81			
1960-05-01	76			
1960-06-01	70			
1960-07-01	74			
1960-08-01	93			
1960-09-01	94			
1960-10-01	94			
1960-11-01	109			
1960-12-01	109			
1961-01-01	105			
1961-02-01	93			
1961-03-01	97			
1961-04-01	81			
1961-05-01	79			
1961-06-01	72			
1961-07-01	79			
1961-08-01	87			
1961-09-01	91			
1961-10-01	110			
1961-11-01	116			
1961-12-01	113			
1962-01-01	100			
1962-02-01	85			
1962-03-01	94			
1962-04-01	87			
1962-05-01	90			
1962-06-01	72			
1962-07-01	85			
1962-08-01	93			
1962-09-01	92			
1962-10-01	115			
1962-11-01	113			
1962-12-01	118			
1963-01-01	106			
1963-02-01	91			
1963-03-01	97			
1963-04-01	96			
1963-05-01	88			
1963-06-01	70			
1963-07-01	87			
1963-08-01	88			
1963-09-01	103			
1963-10-01	119			
1963-11-01	119			
1963-12-01	125			
1964-01-01	106			
1964-02-01	102			
1964-03-01	105			
1964-04-01	101			
1964-05-01	84			
1964-06-01	88			
1964-07-01	93			
1964-08-01	94			
1964-09-01	113			
1964-10-01	114			
1964-11-01	123			
1964-12-01	133			
1965-01-01	107			
1965-02-01	97			
1965-03-01	127			
1965-04-01	98			
1965-05-01	100			
1965-06-01	89			
1965-07-01	95			
1965-08-01	104			
1965-09-01	106			
1965-10-01	116			
1965-11-01	136			
1965-12-01	134			
1966-01-01	105			
1966-02-01	107			
1966-03-01	124			
1966-04-01	99			
1966-05-01	99			
1966-06-01	91			
1966-07-01	89			
1966-08-01	105			
1966-09-01	114			
1966-10-01	122			
1966-11-01	138			
1966-12-01	142			
1967-01-01	116			
1967-02-01	113			
1967-03-01	124			
1967-04-01	104			
1967-05-01	114			
1967-06-01	99			
1967-07-01	95			
1967-08-01	116			
1967-09-01	114			
1967-10-01	128			
1967-11-01	131			
1967-12-01	146			
1968-01-01	132			
1968-02-01	131			
1968-03-01	131			
1968-04-01	119			
1968-05-01	114			
1968-06-01	86			
1968-07-01	105			
1968-08-01	105			
1968-09-01	117			
1968-10-01	143			
1968-11-01	140			
1968-12-01	160			
1969-01-01	131			
1969-02-01	125			
1969-03-01	127			
1969-04-01	119			
1969-05-01	114			
1969-06-01	99			
1969-07-01	115			
1969-08-01	114			
1969-09-01	133			
1969-10-01	143			
1969-11-01	137			
1969-12-01	165			
1970-01-01	127			
1970-02-01	124			
1970-03-01	136			
1970-04-01	130			
1970-05-01	109			
1970-06-01	118			
1970-07-01	120			
1970-08-01	121			
1970-09-01	132			
1970-10-01	143			
1970-11-01	147			
1970-12-01	176			
1971-01-01	133			
1971-02-01	124			
1971-03-01	153			
1971-04-01	134			
1971-05-01	120			
1971-06-01	116			
1971-07-01	119			
1971-08-01	131			
1971-09-01	129			
1971-10-01	144			
1971-11-01	163			
1971-12-01	179			
1972-01-01	128			
1972-02-01	138			
1972-03-01	153			
1972-04-01	120			
1972-05-01	141			
1972-06-01	116			
1972-07-01	121			
1972-08-01	128			
1972-09-01	144			
1972-10-01	158			
1972-11-01	166			
1972-12-01	182			
1973-01-01	153			
1973-02-01	148			
1973-03-01	158			
1973-04-01	137			
1973-05-01	152			
1973-06-01	99			
1973-07-01	146			
1973-08-01	152			
1973-09-01	129			
1973-10-01	174			
1973-11-01	197			
1973-12-01	194			
1974-01-01	164			
1974-02-01	143			
1974-03-01	158			
1974-04-01	159			
1974-05-01	162			
1974-06-01	123			
1974-07-01	130			
1974-08-01	150			
1974-09-01	169			
1974-10-01	180			
1974-11-01	182			
1974-12-01	194			
1975-01-01	161			
1975-02-01	169			
1975-03-01	169			
1975-04-01	158			
1975-05-01	159			
1975-06-01	135			
1975-07-01	149			
1975-08-01	143			
1975-09-01	142			
1975-10-01	188			
1975-11-01	166			
1975-12-01	199			
1976-01-01	183			
1976-02-01	145			
1976-03-01	182			
1976-04-01	159			
1976-05-01	142			
1976-06-01	133			
1976-07-01	140			
1976-08-01	147			
1976-09-01	167			
1976-10-01	157			
1976-11-01	180			
1976-12-01	210			
1977-01-01	160			
1977-02-01	158			
1977-03-01	168			
1977-04-01	158			
1977-05-01	152			
1977-06-01	142			
1977-07-01	137			
1977-08-01	153			
1977-09-01	167			
1977-10-01	166			
1977-11-01	199			
1977-12-01	202			
1978-01-01	171			
1978-02-01	164			
1978-03-01	180			
1978-04-01	157			
1978-05-01	168			
1978-06-01	139			
1978-07-01	139			
1978-08-01	153			
1978-09-01	139			
1978-10-01	172			
1978-11-01	198			
1978-12-01	218			
1979-01-01	174			
1979-02-01	154			
1979-03-01	176			
1979-04-01	147			
1979-05-01	160			
1979-06-01	135			
1979-07-01	149			
1979-08-01	151			
1979-09-01	148			
1979-10-01	182			
1979-11-01	189			
1979-12-01	183			
1980-01-01	170			
1980-02-01	158			
1980-03-01	176			
1980-04-01	156			
1980-05-01	153			
1980-06-01	118			
1980-07-01	150			
1980-08-01	157			
1980-09-01	167			
1980-10-01	157			
1980-11-01	159			
1980-12-01	211			
1981-01-01	204			
1981-02-01	175			
1981-03-01	169			
1981-04-01	156			
1981-05-01	147			
1981-06-01	137			
1981-07-01	141			
1981-08-01	167			
1981-09-01	160			
1981-10-01	192			
1981-11-01	174			
1981-12-01	208			
1982-01-01	159			
1982-02-01	161			
1982-03-01	172			
1982-04-01	158			
1982-05-01	115			
1982-06-01	160			
1982-07-01	160			
1982-08-01	159			
1982-09-01	161			
1982-10-01	166			
1982-11-01	205			
1982-12-01	205			
1983-01-01	142			
1983-02-01	148			
1983-03-01	185			
1983-04-01	133			
1983-05-01	137			
1983-06-01	136			
1983-07-01	122			
1983-08-01	166			
1983-09-01	147			
1983-10-01	163			
1983-11-01	187			
1983-12-01	186			
1984-01-01	152			
1984-02-01	158			
1984-03-01	143			
1984-04-01	151			
1984-05-01	148			
1984-06-01	131			
1984-07-01	138			
1984-08-01	146			
1984-09-01	134			
1984-10-01	168			
1984-11-01	182			
1984-12-01	202			
1985-01-01	167			
1985-02-01	151			
1985-03-01	146			
1985-04-01	148			
1985-05-01	145			
1985-06-01	124			
1985-07-01	152			
1985-08-01	134			
1985-09-01	137			
1985-10-01	182			
1985-11-01	182			
1985-12-01	190			
1986-01-01	161			
1986-02-01	156			
1986-03-01	142			
1986-04-01	165			
1986-05-01	136			
1986-06-01	127			
1986-07-01	153			
1986-08-01	127			
1986-09-01	150			
1986-10-01	186			
1986-11-01	148			
1986-12-01	200			
1987-01-01	177			
1987-02-01	127			
1987-03-01	177			
1987-04-01	154			
1987-05-01	135			
1987-06-01	126			
1987-07-01	147			
1987-08-01	141			
1987-09-01	152			
1987-10-01	151			
1987-11-01	172			
1987-12-01	215			
1988-01-01	154			
1988-02-01	159			
1988-03-01	160			
1988-04-01	152			
1988-05-01	148			
1988-06-01	140			
1988-07-01	148			
1988-08-01	154			
1988-09-01	145			
1988-10-01	184			
1988-11-01	211			
1988-12-01	203			
1989-01-01	153			
1989-02-01	144			
1989-03-01	170			
1989-04-01	144			
1989-05-01	160			
1989-06-01	136			
1989-07-01	142			
1989-08-01	160			
1989-09-01	146			
1989-10-01	184			
1989-11-01	198			
1989-12-01	187			
1990-01-01	172			
1990-02-01	151			
1990-03-01	163			
1990-04-01	154			
1990-05-01	153			
1990-06-01	136			
1990-07-01	149			
1990-08-01	148			
1990-09-01	134			
1990-10-01	194			
1990-11-01	209			
1990-12-01	197			
1991-01-01	164			
1991-02-01	148			
1991-03-01	152			
1991-04-01	144			
1991-05-01	155			
1991-06-01	125			
1991-07-01	153			
1991-08-01	146			
1991-09-01	138			
1991-10-01	190			
1991-11-01	192			
1991-12-01	192			
1992-01-01	147			
1992-02-01	133			
1992-03-01	163			
1992-04-01	150			
1992-05-01	129			
1992-06-01	131			
1992-07-01	145			
1992-08-01	137			
1992-09-01	138			
1992-10-01	168			
1992-11-01	176			
1992-12-01	188			
1993-01-01	139			
1993-02-01	143			
1993-03-01	150			
1993-04-01	154			
1993-05-01	137			
1993-06-01	129			
1993-07-01	128			
1993-08-01	140			
1993-09-01	143			
1993-10-01	151			
1993-11-01	177			
1993-12-01	184			
1994-01-01	151			
1994-02-01	134			
1994-03-01	164			
1994-04-01	126			
1994-05-01	131			
1994-06-01	125			
1994-07-01	127			
1994-08-01	143			
1994-09-01	143			
1994-10-01	160			
1994-11-01	190			
1994-12-01	182			
1995-01-01	138			
1995-02-01	136			
1995-03-01	152			
1995-04-01	127			
1995-05-01	151			
1995-06-01	130			
1995-07-01	119			
1995-08-01	153			
				
